epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,629.124,0.91656,0.89221,1.31667,0.84086,0.72854,0.82171,0.5339,1.18097,1.02373,1.50322,0.000990365,0.000990365,0.000990365
43,643.841,0.912,0.89314,1.31313,0.84512,0.75577,0.83471,0.55441,1.1448,0.93626,1.48943,0.000973861,0.000973861,0.000973861
44,658.597,0.90952,0.85764,1.31705,0.83564,0.76168,0.83801,0.56386,1.13682,0.89821,1.47191,0.000957358,0.000957358,0.000957358
45,673.565,0.91704,0.86256,1.31739,0.73116,0.75199,0.79854,0.51993,1.13184,1.0744,1.46791,0.000940855,0.000940855,0.000940855
46,688.414,0.89946,0.87248,1.30927,0.8128,0.75469,0.81737,0.52978,1.15345,0.98329,1.50271,0.000924352,0.000924352,0.000924352
47,703.249,0.90009,0.85486,1.30522,0.81305,0.78644,0.8317,0.55591,1.11006,0.92635,1.45364,0.000907848,0.000907848,0.000907848
48,718.163,0.90263,0.84536,1.30136,0.78621,0.75078,0.81075,0.53435,1.17936,1.04129,1.48855,0.000891345,0.000891345,0.000891345
49,733.016,0.89693,0.83863,1.29571,0.85292,0.75278,0.82567,0.54736,1.12607,0.93804,1.47844,0.000874842,0.000874842,0.000874842
50,747.799,0.89497,0.83644,1.29819,0.83413,0.76012,0.83866,0.56659,1.09712,0.90429,1.44457,0.000858338,0.000858338,0.000858338
51,762.694,0.86141,0.82826,1.27782,0.80734,0.73506,0.80595,0.52366,1.16259,0.96944,1.47438,0.000841835,0.000841835,0.000841835
52,777.468,0.85584,0.82272,1.27921,0.84228,0.78637,0.85458,0.56922,1.11127,0.91481,1.45223,0.000825332,0.000825332,0.000825332
53,792.307,0.88652,0.82571,1.2909,0.83633,0.77566,0.83941,0.5542,1.12468,0.94848,1.45777,0.000808828,0.000808828,0.000808828
54,807.114,0.85468,0.8227,1.27299,0.82304,0.80761,0.85058,0.56825,1.13404,0.91311,1.48698,0.000792325,0.000792325,0.000792325
55,821.891,0.85831,0.80819,1.28088,0.81154,0.75086,0.82806,0.55371,1.1429,0.96197,1.47312,0.000775822,0.000775822,0.000775822
56,836.624,0.86391,0.81599,1.28653,0.84869,0.77658,0.85707,0.57543,1.10845,0.86409,1.45055,0.000759318,0.000759318,0.000759318
57,851.57,0.84041,0.80405,1.26486,0.84925,0.78113,0.85028,0.56318,1.1403,0.8829,1.50048,0.000742815,0.000742815,0.000742815
58,866.327,0.8427,0.79952,1.27092,0.82,0.7904,0.85637,0.56705,1.10013,0.87064,1.45472,0.000726312,0.000726312,0.000726312
59,881.142,0.85215,0.79277,1.27325,0.77246,0.78371,0.82616,0.56233,1.09783,0.96679,1.42208,0.000709809,0.000709809,0.000709809
60,895.923,0.83046,0.79529,1.25534,0.84268,0.77566,0.8432,0.55853,1.10573,0.91366,1.43441,0.000693305,0.000693305,0.000693305
61,910.644,0.85904,0.80153,1.27537,0.87005,0.77525,0.86176,0.57499,1.11757,0.84721,1.47234,0.000676802,0.000676802,0.000676802
