epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,679.071,0.93058,0.87872,1.31488,0.81844,0.77531,0.83563,0.55716,1.15665,0.93785,1.46116,0.000990365,0.000990365,0.000990365
43,695.153,0.93806,0.88279,1.31699,0.85651,0.77143,0.85905,0.56559,1.15772,0.90997,1.45035,0.000973861,0.000973861,0.000973861
44,711.227,0.9132,0.86029,1.31037,0.83949,0.78326,0.85825,0.56605,1.13865,0.92541,1.46467,0.000957358,0.000957358,0.000957358
45,727.381,0.91339,0.86696,1.30763,0.84168,0.76086,0.83821,0.55059,1.12829,0.91009,1.4492,0.000940855,0.000940855,0.000940855
46,743.455,0.92126,0.87165,1.31059,0.80772,0.75703,0.82736,0.53949,1.17179,0.98587,1.50715,0.000924352,0.000924352,0.000924352
47,759.554,0.91395,0.85856,1.30706,0.80672,0.77469,0.82615,0.54951,1.13823,0.94266,1.44304,0.000907848,0.000907848,0.000907848
48,775.744,0.92323,0.8595,1.30417,0.79757,0.76843,0.8342,0.53937,1.13754,0.94466,1.4613,0.000891345,0.000891345,0.000891345
49,791.684,0.91058,0.83601,1.29494,0.81118,0.79194,0.84195,0.55992,1.12991,0.88761,1.43618,0.000874842,0.000874842,0.000874842
50,808.019,0.9062,0.83863,1.29578,0.82415,0.80223,0.8538,0.56897,1.13738,0.89279,1.45012,0.000858338,0.000858338,0.000858338
51,824.32,0.87766,0.83121,1.27937,0.84751,0.78161,0.85765,0.58278,1.0905,0.89083,1.40757,0.000841835,0.000841835,0.000841835
52,840.453,0.88498,0.82778,1.28779,0.83812,0.76465,0.85505,0.56881,1.1092,0.94464,1.40762,0.000825332,0.000825332,0.000825332
53,856.614,0.89209,0.82961,1.28948,0.80113,0.80972,0.86146,0.57191,1.12695,0.87151,1.43985,0.000808828,0.000808828,0.000808828
54,872.549,0.87865,0.83334,1.27897,0.85708,0.75379,0.8389,0.54898,1.16954,0.88146,1.4775,0.000792325,0.000792325,0.000792325
55,888.416,0.87552,0.82066,1.28221,0.86405,0.77674,0.861,0.57214,1.10601,0.87928,1.41132,0.000775822,0.000775822,0.000775822
56,904.453,0.8773,0.8383,1.28647,0.81932,0.78362,0.84503,0.56212,1.12087,0.92723,1.4539,0.000759318,0.000759318,0.000759318
57,920.549,0.86467,0.81393,1.27271,0.8689,0.77053,0.85437,0.57615,1.09015,0.88324,1.42564,0.000742815,0.000742815,0.000742815
58,936.502,0.86513,0.79475,1.27622,0.84923,0.79753,0.85852,0.58799,1.07123,0.86353,1.39637,0.000726312,0.000726312,0.000726312
59,952.571,0.86181,0.80179,1.27312,0.83785,0.75498,0.84706,0.56672,1.09795,0.90899,1.40529,0.000709809,0.000709809,0.000709809
60,968.562,0.84647,0.80317,1.25537,0.84171,0.78821,0.8655,0.58065,1.09586,0.87777,1.41968,0.000693305,0.000693305,0.000693305
61,984.977,0.87096,0.79967,1.27261,0.87343,0.7949,0.87398,0.59655,1.0672,0.80446,1.38585,0.000676802,0.000676802,0.000676802
62,1001.18,0.83598,0.76679,1.25618,0.83614,0.77538,0.8548,0.58956,1.05812,0.82723,1.39081,0.000660299,0.000660299,0.000660299
63,1017.47,0.85992,0.78038,1.27075,0.86903,0.77108,0.8671,0.58319,1.10754,0.84725,1.41112,0.000643795,0.000643795,0.000643795
64,1033.51,0.84199,0.77659,1.26038,0.86727,0.78852,0.86912,0.59323,1.08717,0.83468,1.40966,0.000627292,0.000627292,0.000627292
65,1049.59,0.83622,0.77687,1.25102,0.82654,0.77561,0.85703,0.57451,1.11239,0.8739,1.42132,0.000610789,0.000610789,0.000610789
66,1065.62,0.83059,0.75919,1.24554,0.84585,0.80391,0.87343,0.60058,1.05547,0.81021,1.37516,0.000594286,0.000594286,0.000594286
67,1081.61,0.83082,0.77409,1.24677,0.84106,0.79668,0.86864,0.60119,1.055,0.81064,1.3692,0.000577782,0.000577782,0.000577782
68,1097.86,0.80455,0.73726,1.22955,0.86121,0.80502,0.87561,0.59997,1.07059,0.80575,1.40087,0.000561279,0.000561279,0.000561279
69,1113.91,0.82459,0.75443,1.23936,0.82775,0.81016,0.86414,0.58788,1.07324,0.83357,1.38835,0.000544776,0.000544776,0.000544776
70,1130,0.80915,0.72986,1.24055,0.85605,0.80346,0.8726,0.58818,1.10416,0.79862,1.40019,0.000528272,0.000528272,0.000528272
71,1146.27,0.80344,0.73661,1.23002,0.85278,0.80556,0.87305,0.6022,1.052,0.78128,1.3784,0.000511769,0.000511769,0.000511769
72,1162.42,0.79597,0.73277,1.21519,0.85932,0.80791,0.87232,0.60052,1.04899,0.79956,1.38124,0.000495266,0.000495266,0.000495266
73,1178.54,0.79288,0.72577,1.22382,0.85518,0.78601,0.87464,0.59207,1.07228,0.82435,1.38176,0.000478762,0.000478762,0.000478762
74,1194.6,0.79649,0.73109,1.22659,0.86495,0.79292,0.87617,0.59916,1.08208,0.79025,1.39373,0.000462259,0.000462259,0.000462259
75,1210.53,0.7958,0.72439,1.23217,0.85694,0.81518,0.87859,0.61181,1.0583,0.77074,1.37428,0.000445756,0.000445756,0.000445756
76,1226.9,0.77448,0.69095,1.20129,0.82884,0.79927,0.85829,0.58522,1.0909,0.83329,1.40065,0.000429253,0.000429253,0.000429253
77,1242.92,0.77888,0.69832,1.20844,0.83884,0.82409,0.87823,0.60777,1.03384,0.78802,1.35122,0.000412749,0.000412749,0.000412749
78,1259,0.76994,0.70745,1.20802,0.85418,0.78228,0.87034,0.60752,1.03614,0.78643,1.36123,0.000396246,0.000396246,0.000396246
79,1275.08,0.77527,0.7091,1.20942,0.84979,0.80966,0.87895,0.60678,1.03457,0.78437,1.35254,0.000379743,0.000379743,0.000379743
80,1291.01,0.78364,0.70153,1.21514,0.88305,0.78335,0.87333,0.6018,1.06942,0.776,1.38963,0.000363239,0.000363239,0.000363239
81,1306.93,0.75558,0.68133,1.19972,0.85184,0.80942,0.8774,0.60412,1.052,0.76978,1.4036,0.000346736,0.000346736,0.000346736
82,1323.18,0.75771,0.67591,1.19842,0.88206,0.81538,0.88779,0.60552,1.04443,0.77894,1.37357,0.000330233,0.000330233,0.000330233
83,1339.1,0.76401,0.67851,1.20008,0.86225,0.81764,0.88532,0.61192,1.03761,0.75376,1.36909,0.000313729,0.000313729,0.000313729
84,1355.24,0.75046,0.67055,1.19683,0.87628,0.79993,0.87931,0.61004,1.01686,0.74206,1.34835,0.000297226,0.000297226,0.000297226
85,1371.37,0.75312,0.66955,1.19772,0.84608,0.81662,0.87571,0.60847,1.02077,0.75047,1.35101,0.000280723,0.000280723,0.000280723
