epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1904.23,1.45545,1.30052,1.43085,0.55577,0.51227,0.51351,0.24156,1.78365,1.56843,1.67244,0.0011684,0.0011684,0.0011684
44,1948.22,1.46979,1.29832,1.43227,0.57225,0.55643,0.56363,0.27796,1.73217,1.49493,1.62491,0.0011486,0.0011486,0.0011486
45,1993.11,1.44511,1.25596,1.42053,0.60904,0.53876,0.59258,0.30501,1.70951,1.46746,1.63452,0.0011288,0.0011288,0.0011288
46,2037.68,1.46558,1.26947,1.43176,0.62666,0.5525,0.60292,0.28244,1.79091,1.45587,1.65697,0.001109,0.001109,0.001109
47,2081.77,1.44479,1.24559,1.42086,0.63844,0.5211,0.58522,0.28996,1.74903,1.49678,1.63042,0.0010892,0.0010892,0.0010892
48,2126.1,1.43012,1.25392,1.41393,0.63873,0.55175,0.61431,0.30906,1.68503,1.43332,1.59921,0.0010694,0.0010694,0.0010694
49,2169.96,1.42877,1.25484,1.41667,0.6591,0.55447,0.61312,0.30768,1.70579,1.41833,1.60144,0.0010496,0.0010496,0.0010496
50,2213.9,1.43439,1.24731,1.4363,0.60459,0.55937,0.59506,0.29859,1.7074,1.43961,1.61937,0.0010298,0.0010298,0.0010298
51,2257.41,1.44468,1.24714,1.41661,0.61851,0.57213,0.61415,0.3097,1.66798,1.39928,1.59762,0.00101,0.00101,0.00101
52,2301.48,1.41238,1.19611,1.40085,0.6204,0.56428,0.60529,0.30594,1.67113,1.38215,1.57566,0.0009902,0.0009902,0.0009902
53,2345.79,1.41728,1.21441,1.40671,0.64091,0.579,0.62458,0.31581,1.66435,1.3467,1.59201,0.0009704,0.0009704,0.0009704
54,2390.42,1.4067,1.18349,1.4147,0.62335,0.56428,0.6066,0.30638,1.69508,1.39688,1.60977,0.0009506,0.0009506,0.0009506
55,2434.84,1.38987,1.2052,1.39501,0.63435,0.58979,0.60974,0.31022,1.68648,1.39688,1.60584,0.0009308,0.0009308,0.0009308
56,2480.8,1.41045,1.17966,1.3915,0.58694,0.57409,0.58276,0.29156,1.70534,1.47586,1.62604,0.000911,0.000911,0.000911
57,2525.31,1.38505,1.16855,1.38063,0.61341,0.54171,0.57622,0.28762,1.71991,1.45613,1.62618,0.0008912,0.0008912,0.0008912
58,2571.57,1.3622,1.14543,1.37625,0.57065,0.60519,0.60835,0.30481,1.6809,1.38962,1.60439,0.0008714,0.0008714,0.0008714
59,2616.14,1.36488,1.15428,1.37633,0.64698,0.54855,0.60495,0.3132,1.72551,1.39561,1.63066,0.0008516,0.0008516,0.0008516
60,2661.78,1.35909,1.12951,1.36365,0.59607,0.52279,0.56056,0.2702,1.76243,1.49893,1.64362,0.0008318,0.0008318,0.0008318
61,2706.69,1.3744,1.15192,1.37299,0.59512,0.55937,0.59414,0.30398,1.7173,1.44011,1.63936,0.000812,0.000812,0.000812
62,2750.74,1.3424,1.13492,1.35285,0.62391,0.58783,0.62005,0.32143,1.69153,1.33515,1.62132,0.0007922,0.0007922,0.0007922
63,2795.9,1.37026,1.09469,1.38037,0.62127,0.56133,0.60682,0.32145,1.70084,1.40092,1.61384,0.0007724,0.0007724,0.0007724
64,2839.8,1.35514,1.09225,1.35036,0.64008,0.58685,0.62809,0.32517,1.70012,1.3233,1.61501,0.0007526,0.0007526,0.0007526
65,2885.06,1.35948,1.13969,1.3606,0.62617,0.5556,0.6145,0.32022,1.70417,1.3612,1.61241,0.0007328,0.0007328,0.0007328
66,2929.18,1.35104,1.08501,1.36558,0.62738,0.55348,0.60426,0.30898,1.69729,1.38016,1.61256,0.000713,0.000713,0.000713
67,2973.48,1.3232,1.07563,1.33852,0.62775,0.59274,0.6269,0.32392,1.68929,1.32947,1.60491,0.0006932,0.0006932,0.0006932
68,3016.73,1.30877,1.08252,1.34141,0.64362,0.56714,0.61062,0.31574,1.69501,1.36719,1.6124,0.0006734,0.0006734,0.0006734
69,3061.68,1.30701,1.06101,1.33081,0.64895,0.57311,0.62207,0.31412,1.71359,1.3225,1.61832,0.0006536,0.0006536,0.0006536
70,3105.25,1.31289,1.06374,1.34551,0.62588,0.54563,0.59031,0.29948,1.68999,1.40585,1.6254,0.0006338,0.0006338,0.0006338
71,3149.05,1.30691,1.04566,1.33874,0.6375,0.55545,0.61945,0.32048,1.69522,1.32276,1.6133,0.000614,0.000614,0.000614
72,3192.4,1.26042,1.00079,1.3011,0.60579,0.60322,0.61837,0.31065,1.6886,1.34568,1.61697,0.0005942,0.0005942,0.0005942
73,3235.66,1.28268,1.02589,1.31926,0.64344,0.58391,0.63036,0.3276,1.65866,1.31818,1.60149,0.0005744,0.0005744,0.0005744
74,3279.42,1.28992,1.0175,1.31981,0.61976,0.58292,0.60943,0.30862,1.74426,1.3602,1.64326,0.0005546,0.0005546,0.0005546
75,3322.75,1.26353,0.98452,1.30547,0.64437,0.55937,0.61801,0.31706,1.68887,1.32463,1.61116,0.0005348,0.0005348,0.0005348
76,3366.01,1.25781,1.0154,1.31452,0.59624,0.61445,0.62003,0.31898,1.6815,1.32941,1.59707,0.000515,0.000515,0.000515
77,3409.26,1.26713,0.99588,1.30581,0.63953,0.58675,0.62107,0.32118,1.71749,1.30462,1.63753,0.0004952,0.0004952,0.0004952
78,3453.14,1.27199,1.03461,1.30681,0.64862,0.58391,0.62581,0.32236,1.67145,1.32851,1.60622,0.0004754,0.0004754,0.0004754
79,3496.9,1.24242,0.97758,1.29882,0.61492,0.61138,0.64268,0.33205,1.68838,1.26221,1.61566,0.0004556,0.0004556,0.0004556
80,3540.78,1.24712,1.00197,1.29287,0.64932,0.58979,0.62683,0.32091,1.67547,1.31222,1.61267,0.0004358,0.0004358,0.0004358
81,3584.78,1.25562,0.98023,1.29233,0.64786,0.58194,0.62668,0.32721,1.67231,1.29046,1.61167,0.000416,0.000416,0.000416
82,3628.88,1.22851,0.95222,1.28892,0.63012,0.58194,0.62055,0.32624,1.68835,1.3194,1.63431,0.0003962,0.0003962,0.0003962
83,3672.85,1.24803,0.95037,1.30003,0.66916,0.57605,0.63,0.3296,1.68086,1.28695,1.62183,0.0003764,0.0003764,0.0003764
84,3716.41,1.23332,0.94803,1.29002,0.62232,0.63886,0.62706,0.33021,1.68566,1.27101,1.622,0.0003566,0.0003566,0.0003566
85,3760.3,1.23501,0.95918,1.3067,0.64805,0.58685,0.62659,0.33417,1.69234,1.27607,1.62211,0.0003368,0.0003368,0.0003368
86,3804.63,1.21459,0.94803,1.29092,0.67472,0.56792,0.62105,0.32918,1.68107,1.30154,1.62597,0.000317,0.000317,0.000317
87,3849.07,1.20535,0.92296,1.27179,0.66001,0.56722,0.62533,0.32568,1.69624,1.30515,1.63968,0.0002972,0.0002972,0.0002972
88,3893.48,1.2096,0.91002,1.29088,0.65107,0.58489,0.6384,0.33403,1.69094,1.27839,1.62181,0.0002774,0.0002774,0.0002774
89,3938,1.20798,0.93407,1.2685,0.60058,0.59863,0.6126,0.3109,1.72095,1.35051,1.63422,0.0002576,0.0002576,0.0002576
90,3982.08,1.16007,0.88623,1.23833,0.59404,0.61825,0.62394,0.32459,1.6937,1.29111,1.6292,0.0002378,0.0002378,0.0002378
91,4024.36,1.17753,0.82827,1.26124,0.66352,0.58391,0.62591,0.32901,1.69734,1.31235,1.64397,0.000218,0.000218,0.000218
92,4066.2,1.15053,0.79768,1.24584,0.62442,0.6055,0.61983,0.3264,1.71377,1.2824,1.65441,0.0001982,0.0001982,0.0001982
93,4108.18,1.12812,0.77927,1.24009,0.67014,0.55545,0.60336,0.30909,1.72964,1.32506,1.66934,0.0001784,0.0001784,0.0001784
94,4149.78,1.11471,0.77872,1.22627,0.69164,0.56919,0.62428,0.32229,1.71078,1.28326,1.65859,0.0001586,0.0001586,0.0001586
95,4191.48,1.11641,0.74445,1.23289,0.61852,0.60451,0.61788,0.32035,1.73329,1.28905,1.68199,0.0001388,0.0001388,0.0001388
96,4233.93,1.08996,0.72799,1.21177,0.68402,0.57409,0.62899,0.3256,1.71057,1.28022,1.66641,0.000119,0.000119,0.000119
97,4275.64,1.0714,0.71747,1.18882,0.6252,0.60746,0.62427,0.31919,1.72526,1.28158,1.68563,9.92e-05,9.92e-05,9.92e-05
98,4317.48,1.08423,0.75233,1.20736,0.64865,0.58489,0.62144,0.3246,1.72416,1.27141,1.68549,7.94e-05,7.94e-05,7.94e-05
99,4359.11,1.13095,0.76013,1.23189,0.70357,0.55643,0.62476,0.32415,1.72818,1.28092,1.68971,5.96e-05,5.96e-05,5.96e-05
100,4400.95,1.06903,0.73364,1.19948,0.62793,0.60451,0.61555,0.32012,1.7344,1.29199,1.70034,3.98e-05,3.98e-05,3.98e-05
